iter	Passed	Remaining
609	21193	13549
610	21224	13512
611	21255	13475
612	21291	13442
613	21327	13407
614	21361	13372
615	21390	13334
616	21423	13298
617	21453	13261
618	21489	13226
619	21524	13192
620	21557	13156
621	21589	13120
622	21620	13083
623	21652	13047
624	21683	13009
625	21719	12976
626	21750	12939
627	21781	12902
628	21813	12865
629	21843	12828
630	21874	12791
631	21909	12757
632	21941	12721
633	21973	12685
634	22006	12649
635	22037	12612
636	22070	12577
637	22102	12540
638	22138	12506
639	22169	12470
640	22201	12434
641	22234	12398
642	22272	12366
643	22307	12331
644	22338	12294
645	22368	12257
646	22399	12221
647	22433	12186
648	22465	12149
649	22500	12115
650	22534	12080
651	22568	12045
652	22598	12008
653	22632	11973
654	22663	11937
655	22697	11902
656	22727	11865
657	22759	11829
658	22790	11792
659	22821	11756
660	22853	11720
661	22887	11685
662	22920	11650
663	22950	11613
664	22982	11577
665	23015	11542
666	23049	11507
667	23082	11471
668	23114	11436
669	23147	11401
670	23178	11364
671	23213	11330
672	23249	11296
673	23282	11261
674	23313	11225
675	23345	11189
676	23381	11155
677	23413	11119
678	23446	11084
679	23479	11049
680	23511	11013
681	23542	10977
682	23574	10941
683	23639	10921
684	23673	10886
685	23706	10851
686	23740	10816
687	23773	10781
688	23806	10745
689	23849	10714
690	23886	10681
691	23934	10652
692	23969	10618
693	24004	10584
694	24039	10549
695	24074	10515
696	24109	10480
697	24141	10445
698	24174	10409
699	24207	10374
700	24241	10339
701	24274	10304
702	24306	10269
703	24338	10233
704	24372	10198
705	24405	10163
706	24439	10128
707	24473	10093
708	24509	10059
709	24541	10024
710	24575	9989
711	24609	9954
712	24644	9919
713	24678	9885
714	24712	9850
715	24745	9815
716	24779	9780
717	24813	9745
718	24846	9710
719	24883	9677
720	24918	9642
721	24951	9607
722	24984	9572
723	25020	9538
724	25055	9503
725	25091	9469
726	25125	9434
727	25159	9400
728	25197	9367
729	25237	9334
730	25274	9300
731	25308	9265
732	25341	9230
733	25374	9195
734	25407	9160
735	25441	9125
736	25475	9091
737	25509	9056
738	25541	9020
739	25575	8986
740	25610	8951
741	25644	8916
742	25681	8883
743	25715	8848
744	25752	8814
745	25785	8779
746	25820	8745
747	25857	8711
748	25892	8676
749	25927	8642
750	25960	8607
751	25999	8574
752	26040	8541
753	26076	8507
754	26111	8473
755	26142	8437
756	26174	8402
757	26212	8368
758	26255	8336
759	26286	8300
760	26322	8266
761	26353	8231
762	26384	8195
763	26416	8160
764	26452	8125
765	26486	8091
766	26520	8056
767	26554	8021
768	26586	7986
769	26615	7950
770	26649	7915
771	26680	7879
772	26712	7844
773	26742	7808
774	26776	7773
775	26810	7739
776	26846	7704
777	26881	7670
778	26914	7635
779	26945	7599
780	26980	7565
781	27010	7529
782	27047	7495
783	27080	7461
784	27112	7425
785	27146	7391
