iter	Passed	Remaining
587	18816	13184
588	18850	13153
589	18884	13122
590	18916	13091
591	18953	13062
592	18983	13028
593	19013	12996
594	19046	12964
595	19076	12930
596	19108	12898
597	19140	12867
598	19176	12837
599	19209	12806
600	19241	12774
601	19272	12741
602	19304	12709
603	19337	12678
604	19367	12645
605	19393	12608
606	19422	12575
607	19451	12541
608	19479	12506
609	19511	12474
610	19546	12444
611	19579	12412
612	19616	12384
613	19652	12354
614	19686	12324
615	19718	12292
616	19753	12261
617	19787	12230
618	19820	12199
619	19854	12168
620	19888	12137
621	19922	12107
622	19953	12074
623	19986	12043
624	20018	12011
625	20054	11981
626	20086	11949
627	20118	11917
628	20151	11885
629	20182	11853
630	20212	11820
631	20243	11787
632	20277	11756
633	20311	11725
634	20344	11694
635	20376	11661
636	20410	11631
637	20442	11599
638	20477	11568
639	20509	11536
640	20546	11507
641	20581	11476
642	20614	11445
643	20650	11415
644	20684	11384
645	20720	11354
646	20756	11324
647	20791	11293
648	20824	11262
649	20864	11234
650	20897	11203
651	20933	11172
652	20966	11141
653	21002	11111
654	21042	11083
655	21079	11053
656	21116	11024
657	21151	10993
658	21183	10961
659	21219	10931
660	21253	10900
661	21284	10867
662	21319	10836
663	21353	10805
664	21396	10778
665	21437	10750
666	21473	10720
667	21503	10687
668	21536	10655
669	21566	10622
670	21597	10589
671	21629	10557
672	21661	10524
673	21693	10492
674	21722	10459
675	21755	10427
676	21787	10394
677	21820	10363
678	21853	10331
679	21884	10298
680	21928	10271
681	21958	10238
682	21989	10206
683	22027	10176
684	22057	10143
685	22089	10110
686	22123	10079
687	22154	10046
688	22185	10013
689	22213	9980
690	22246	9948
691	22279	9916
692	22311	9884
693	22343	9851
694	22375	9819
695	22407	9787
696	22438	9754
697	22470	9721
698	22504	9690
699	22537	9659
700	22570	9627
701	22612	9599
702	22644	9566
703	22676	9534
704	22708	9502
705	22744	9471
706	22785	9443
707	22819	9411
708	22851	9379
709	22881	9345
710	22910	9312
711	22939	9278
712	22969	9245
713	22999	9212
714	23031	9180
715	23064	9148
716	23094	9115
717	23122	9081
718	23147	9046
719	23176	9013
720	23205	8979
721	23231	8945
722	23258	8910
723	23286	8877
724	23317	8844
725	23344	8810
726	23371	8776
727	23400	8743
728	23429	8709
729	23457	8675
730	23488	8643
731	23521	8611
732	23556	8580
733	23588	8548
734	23619	8515
735	23656	8485
736	23687	8453
737	23719	8420
738	23752	8388
739	23786	8357
740	23824	8327
741	23855	8294
742	23889	8263
743	23918	8229
744	23952	8198
745	23981	8165
746	24011	8132
747	24039	8098
748	24071	8066
749	24099	8033
750	24129	8000
751	24158	7967
752	24186	7933
753	24216	7900
754	24246	7867
755	24278	7835
756	24304	7801
757	24332	7768
758	24361	7735
759	24389	7701
760	24426	7671
761	24458	7639
762	24493	7607
763	24526	7576
764	24562	7545
765	24604	7516
766	24644	7486
767	24688	7458
768	24724	7427
769	24764	7397
770	24812	7369
771	24850	7339
772	24887	7308
773	24924	7277
774	24958	7245
775	24988	7213
776	25023	7181
777	25062	7151
778	25094	7119
779	25125	7086
780	25162	7055
781	25207	7027
782	25251	6998
783	25287	6967
784	25318	6934
785	25349	6901
786	25379	6868
787	25409	6836
788	25439	6803
789	25472	6771
790	25503	6738
791	25536	6706
792	25570	6674
793	25602	6642
794	25637	6610
795	25670	6578
796	25701	6546
797	25735	6514
798	25773	6483
799	25805	6451
800	25836	6418
801	25869	6386
802	25899	6353
803	25931	6321
804	25964	6289
805	25994	6256
806	26028	6224
807	26059	6192
808	26095	6161
809	26130	6129
810	26160	6096
811	26193	6064
812	26225	6032
813	26261	6000
814	26291	5967
815	26324	5935
816	26368	5906
817	26403	5874
818	26437	5842
819	26469	5810
820	26503	5778
821	26534	5745
822	26573	5715
823	26603	5682
824	26643	5651
825	26678	5619
826	26712	5587
827	26748	5556
828	26772	5522
829	26800	5489
830	26831	5456
831	26859	5423
832	26887	5390
833	26915	5357
834	26943	5324
835	26971	5290
836	27000	5258
837	27031	5225
838	27066	5193
839	27102	5162
840	27133	5129
841	27167	5097
842	27201	5065
843	27236	5034
844	27270	5002
845	27302	4969
846	27334	4937
847	27372	4906
848	27410	4875
849	27450	4844
850	27485	4812
851	27516	4779
852	27552	4748
853	27590	4716
854	27623	4684
855	27652	4651
856	27680	4618
857	27710	4586
858	27744	4554
859	27777	4521
860	27805	4488
861	27836	4456
862	27864	4423
863	27890	4390
864	27919	4357
865	27946	4324
866	27973	4291
867	28003	4258
868	28030	4225
869	28062	4193
870	28091	4160
871	28120	4127
872	28150	4095
873	28180	4062
874	28212	4030
875	28241	3997
876	28268	3964
877	28296	3931
878	28322	3898
879	28349	3865
880	28377	3833
881	28410	3800
882	28439	3768
883	28469	3735
884	28498	3703
885	28528	3670
886	28555	3637
887	28581	3604
888	28613	3572
889	28642	3540
890	28668	3507
891	28701	3475
892	28735	3443
893	28762	3410
894	28790	3377
895	28819	3345
896	28849	3312
897	28876	3279
898	28902	3247
899	28929	3214
900	28957	3181
901	28984	3149
902	29012	3116
903	29041	3084
904	29069	3051
905	29096	3018
906	29124	2986
907	29150	2953
908	29176	2920
909	29202	2888
910	29230	2855
911	29259	2823
912	29287	2790
913	29319	2758
914	29352	2726
915	29386	2694
916	29418	2662
917	29451	2630
918	29481	2598
919	29517	2566
920	29551	2534
921	29581	2502
922	29609	2470
923	29638	2437
924	29668	2405
925	29703	2373
926	29732	2341
927	29768	2309
928	29800	2277
929	29830	2245
930	29857	2212
931	29886	2180
932	29916	2148
933	29944	2115
934	29974	2083
935	30005	2051
936	30034	2019
937	30063	1987
938	30095	1955
939	30127	1923
940	30161	1891
941	30199	1859
942	30231	1827
943	30262	1795
944	30289	1762
945	30323	1730
946	30352	1698
947	30382	1666
948	30412	1634
949	30442	1602
950	30467	1569
951	30494	1537
952	30523	1505
953	30554	1473
954	30583	1441
955	30615	1409
956	30658	1377
957	30692	1345
958	30721	1313
959	30749	1281
960	30784	1249
961	30820	1217
962	30851	1185
963	30881	1153
964	30911	1121
965	30939	1088
966	30970	1056
967	30996	1024
968	31023	992
969	31053	960
970	31084	928
971	31113	896
972	31141	864
973	31168	832
974	31195	799
975	31224	767
976	31252	735
977	31281	703
978	31310	671
979	31337	639
980	31374	607
981	31411	575
982	31440	543
983	31467	511
984	31500	479
985	31530	447
986	31558	415
987	31590	383
988	31617	351
989	31648	319
990	31682	287
991	31718	255
992	31757	223
993	31794	191
994	31826	159
995	31861	127
996	31899	95
997	31933	63
998	31966	31
999	32000	0
